"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGFFFLIJ_04796",696.658964330489,0.0675124723915428,0.192766143657269,0.350229926846374,0.726166148934054,0.808347766581976
"FGFFFLIJ_05017",122.061434698809,-0.0987830686053299,0.281983431894821,-0.35031515128937,0.726102195738037,0.808347766581976
"FGFFFLIJ_06263",210.064264472252,0.079315650606584,0.226211265529353,0.350626439496631,0.725868618466644,0.808347766581976
"FGFFFLIJ_06585",17.5603845134341,-0.236262013918383,0.674292765299261,-0.350384915984568,0.726049845098359,0.808347766581976
"FGFFFLIJ_06990",34.2150787311366,0.152379246612455,0.43493260026873,0.350351402765175,0.72607499288015,0.808347766581976
"FGFFFLIJ_07196",20.7308585970144,-0.225049899692347,0.641975415914778,-0.350558439020073,0.725919640921714,0.808347766581976
"FGFFFLIJ_07415",2.91556562974388,-0.645674932985348,1.84364153605697,-0.350217176364048,0.72617571717596,0.808347766581976
"FGFFFLIJ_02683",13.7361876109518,-0.244936332981139,0.700389842634577,-0.34971428491851,0.726553132020009,0.808567367646995
"FGFFFLIJ_01162",169.279257728974,-0.0805989429267845,0.230893140028269,-0.349074653828679,0.727033264455345,0.808909618037547
"FGFFFLIJ_04569",16.1946189835933,-0.246142501067573,0.705196755753507,-0.34904088690052,0.727058614230248,0.808909618037547
"FGFFFLIJ_03483",50.1890758224881,-0.126128477206075,0.361696149560994,-0.348713906297213,0.727304103141095,0.809072605821718
"FGFFFLIJ_07266",12.3317016794742,-0.285216324721883,0.818388950485423,-0.348509500956371,0.727457579811819,0.809133206287697
"FGFFFLIJ_06320",85.5827283274392,-0.114271507918458,0.328347725049387,-0.348019794872253,0.727825317503214,0.809432075105969
"FGFFFLIJ_06773",12.3733284353832,-0.2401678054289,0.69237339816557,-0.346876130806325,0.728684379451514,0.810277201803704
"FGFFFLIJ_06334",134.849784894896,-0.0913100291289871,0.263702395752413,-0.346261659354498,0.729146079809259,0.810680303398324
"FGFFFLIJ_03222",15.5011508936886,0.217279924706573,0.629627297103272,0.345092923553685,0.730024513244492,0.811546565117958
"FGFFFLIJ_06321",6.05783997861665,-0.39556295583802,1.1477855260266,-0.344631420128967,0.730371481452269,0.811821857460817
"FGFFFLIJ_04255",6.78106512288953,0.379028112387937,1.10424674657319,0.343245849321427,0.731413514725328,0.812869547980706
"FGFFFLIJ_00433",15.5858908143685,-0.231319720679797,0.675017126359673,-0.34268718769743,0.731833802471044,0.812926388992981
"FGFFFLIJ_01459",12.7351564197497,0.256150152803639,0.747575526378462,0.342641169708333,0.731868425937207,0.812926388992981
"FGFFFLIJ_04622",3.07308217785507,-0.45777316402513,1.3364983272983,-0.342516825255224,0.731961984167301,0.812926388992981
"FGFFFLIJ_06001",40.6229156503503,-0.158651742948621,0.463020573196676,-0.342645126658833,0.731865448746509,0.812926388992981
"FGFFFLIJ_07343",98.7035375148125,-0.0933512869406357,0.272443048213892,-0.342645141994398,0.731865437208111,0.812926388992981
"FGFFFLIJ_04229",18.510561191294,0.209894840032597,0.613970065590834,0.341864940647573,0.732452534993907,0.813250179120391
"FGFFFLIJ_07349",42.5644974398634,-0.156502810943883,0.45765458100503,-0.341967102350852,0.732375649882472,0.813250179120391
"FGFFFLIJ_06028",7014.99220220261,0.0471703209625159,0.138074232074161,0.341630152519553,0.732629242609449,0.813335886966453
"FGFFFLIJ_00644",2.18840813312794,0.609974117344388,1.78745800600995,0.341252278539401,0.732913670097051,0.813541141613907
"FGFFFLIJ_06479",136.476022229762,0.0902120462313097,0.264771641047028,0.340716422176371,0.733317074531814,0.813878388124459
"FGFFFLIJ_04998",1210.34193490453,-0.0564286302710214,0.165738222449711,-0.340468417224297,0.733503803045018,0.813975096033527
"FGFFFLIJ_07642",7.77931472071302,-0.318887683036863,0.937356530705596,-0.340198923878858,0.733706728529232,0.814089749154143
"FGFFFLIJ_05092",538.378061471348,0.0659298852832722,0.194034373998126,0.339784564583947,0.734018772748912,0.814195440316183
"FGFFFLIJ_07708",44.6035427793744,0.1458519716144,0.429386081157775,0.339675592700005,0.734100844205305,0.814195440316183
"FGFFFLIJ_08229",9.63878048399014,0.302508796476685,0.889943109542322,0.33991925240284,0.733917337704734,0.814195440316183
